"distance","AIC","deltaAIC","logLik","M_stat","M_p.value","sd.two_DB","sd.two_EB","R2","converge"
39,2561.47012781812,184.96779005009,-1271.73506390906,21.5116574941839,6.05495859620129e-103,0.728291841747187,0.584670118683844,0.4956410925777,TRUE
40,2560.85752876554,185.580389102674,-1271.42876438277,21.8160862941771,8.16235680477655e-106,0.725432177299244,0.584179917798518,0.496229937875895,TRUE
41,2560.24195353376,186.195964334451,-1271.12097676688,22.0497320184015,4.80455143476164e-108,0.723097831417856,0.584132301839326,0.496820862940057,TRUE
42,2558.98393609037,187.453981777838,-1270.49196804519,22.3484297580106,6.25325503815565e-111,0.720805753768823,0.582878051180039,0.498026074371116,TRUE
43,2558.35254544072,188.085372427495,-1270.17627272036,22.5286009513328,1.08862467157096e-112,0.718246704840293,0.581828545531694,0.498629734809462,TRUE
44,2556.58484013396,189.853077734255,-1269.29242006698,22.8114665149052,1.76414995920939e-115,0.716104198436959,0.581310925655272,0.500315454430139,TRUE
45,2554.84079377986,191.597124088349,-1268.42039688993,23.0481254406727,7.67985863594206e-118,0.713403242081365,0.580516761433473,0.501972352812184,TRUE
46,2552.91174749256,193.526170375647,-1267.45587374628,23.2816197669701,3.40369794181563e-120,0.710877298993903,0.580234993485335,0.503797798117984,TRUE
47,2551.77843368724,194.659484180968,-1266.88921684362,23.489728494565,2.59711958418106e-122,0.709282581905981,0.580384237561469,0.504866729586977,TRUE
48,2550.10131595646,196.336601911747,-1266.05065797823,23.6761657693536,3.17388157310427e-124,0.706733115471062,0.579529727766546,0.506443814778162,TRUE
49,2548.08772516426,198.35019270395,-1265.04386258213,23.8498670533358,5.07930750003829e-126,0.704985157071814,0.578836544173887,0.508329833320656,TRUE
50,2546.0312812265,200.406636641709,-1264.01564061325,23.9364063011683,6.40101515754086e-127,0.702935823294547,0.578420137643104,0.510247616495907,TRUE
