"distance","AIC","deltaAIC","logLik","M_stat","M_p.value","sd.two_DB","sd.two_EB","R2","converge"
20,1345.79305291644,114.124026366558,-663.896526458222,7.908940590655,1.29794223920473e-15,0.600440078261603,0.576705949066472,0.310108630567847,TRUE
21,1342.96966924599,116.947410037008,-662.484834622997,8.08387899190039,3.13692928403903e-16,0.593552551030879,0.567908345755937,0.314699096478882,TRUE
22,1339.93322815434,119.983851128665,-660.966614077168,8.23839874439668,8.72653393284718e-17,0.586019619482129,0.565185933557042,0.319595851632848,TRUE
23,1338.88871412585,121.028365157154,-660.444357062924,8.4656624900117,1.27350372786495e-17,0.581637271921384,0.561918338816581,0.321270763592501,TRUE
24,1337.89342386791,122.023655415087,-659.946711933957,8.68848776421568,1.83647882536514e-18,0.575891478447391,0.558247799644308,0.322862226989768,TRUE
25,1336.63790022171,123.279179061288,-659.318950110857,8.80080258539295,6.79205638864176e-19,0.57172627297497,0.556708431903557,0.324863538006426,TRUE
26,1335.22742893198,124.689650351024,-658.613714465989,8.85921635551385,4.02894256438161e-19,0.566735592091641,0.552661967015388,0.327103534892075,TRUE
27,1333.81350562212,126.103573660884,-657.906752811059,9.18612931228043,2.03615753636858e-20,0.561717076759095,0.550925379588236,0.32934023752034,TRUE
28,1332.65701659164,127.26006269136,-657.328508295821,9.42430208648696,2.16487664410891e-21,0.557828898524841,0.547532331131375,0.331163197403856,TRUE
29,1331.62899125831,128.288088024689,-656.814495629156,9.52366529524878,8.35881455310376e-22,0.555243774092766,0.546335758874329,0.332778767229788,TRUE
30,1331.26572028328,128.651358999722,-656.63286014164,9.7311213378382,1.11065302754607e-22,0.551505822581297,0.545214897748278,0.333348559077734,TRUE
31,1330.79627545857,129.120803824435,-656.398137729283,9.89865807276619,2.10948942585615e-23,0.54746185155408,0.543050332414988,0.334084037193509,TRUE
32,1330.27921797412,129.637861308884,-656.139608987059,10.0729137671807,3.63945464109133e-24,0.54565666427899,0.541385047498429,0.334893005357711,TRUE
33,1329.07587917112,130.841200111886,-655.537939585558,10.1897165527932,1.10202944751655e-24,0.542135999916822,0.539815520507271,0.336771230435255,TRUE
34,1328.60218032564,131.314898957364,-655.301090162819,10.3684157457144,1.72600077158262e-25,0.540782500622179,0.539098457607896,0.337508888772967,TRUE
35,1327.62266627919,132.294413003816,-654.811333139593,10.4759581785898,5.57018294003893e-26,0.539246522738765,0.537065588814455,0.339031159343907,TRUE
36,1326.50894169494,133.408137588058,-654.254470847472,10.596071397049,1.55380941276741e-26,0.535922938994035,0.535303145246408,0.34075701227579,TRUE
37,1325.69790667297,134.219172610031,-653.848953336485,10.7211658558951,4.04880612165604e-27,0.533474953615034,0.533315502600361,0.34201047637767,TRUE
38,1324.92094891653,134.996130366467,-653.460474458267,10.7956283771221,1.80492321689862e-27,0.531553055547026,0.532240265730344,0.343208646243105,TRUE
39,1323.47909201048,136.437987272517,-652.739546005242,10.9148751064618,4.89318592500752e-28,0.529415160505088,0.531519789649191,0.34542538687257,TRUE
40,1323.04757963741,136.86949964559,-652.523789818706,10.9984605005991,1.94355653175645e-28,0.527481357279306,0.52974705978406,0.346087092164872,TRUE
41,1322.47628776307,137.440791519928,-652.238143881537,11.0303241313336,1.36439888720254e-28,0.526019847432113,0.528484720514538,0.346961934045145,TRUE
42,1321.62750653642,138.289572746583,-651.813753268209,11.0875604572934,7.20828900270341e-29,0.524348180546919,0.527004580772782,0.348259167571223,TRUE
43,1320.51096929914,139.406109983864,-651.255484649569,11.2314060503879,1.42946198096272e-29,0.522691724119498,0.526223208002693,0.349961016483806,TRUE
44,1319.94172401103,139.975355271974,-650.970862005514,11.2406858620449,1.28687454249717e-29,0.520785021952084,0.525053608644827,0.350826661767064,TRUE
45,1318.62203768672,141.295041596283,-650.31101884336,11.2240503169114,1.55353262133158e-29,0.518654810721845,0.523779982409817,0.352828290536407,TRUE
46,1317.36238505174,142.554694231265,-649.681192525868,11.1841241255014,2.43848484904843e-29,0.51687208885425,0.522828254286515,0.354732103685357,TRUE
47,1316.19477266606,143.722306616945,-649.097386333028,11.2284985972464,1.47728160602323e-29,0.515051854921879,0.521347951237663,0.356490936822483,TRUE
48,1316.23530796867,143.681771314328,-649.117653984337,11.1731308821302,2.76001061988653e-29,0.513263362256162,0.520572066949451,0.356429970876883,TRUE
49,1315.09379271463,144.823286568368,-648.546896357317,11.1374858547071,4.12065338365688e-29,0.511057754735504,0.519419628317742,0.358144242947367,TRUE
50,1313.60264946084,146.314429822161,-647.80132473042,11.1592267140921,3.22752936068567e-29,0.509146555509893,0.518019529387765,0.360375499598764,TRUE
