distance,group,SP,layer,deltaAIC
37,DB,non_canopy,understory,66.5604428
38,DB,non_canopy,understory,67.61833204
39,DB,non_canopy,understory,68.80620142
40,DB,non_canopy,understory,69.57104003
41,DB,non_canopy,understory,70.07876947
42,DB,non_canopy,understory,71.05525674
43,DB,non_canopy,understory,71.76152255
44,DB,non_canopy,understory,72.62872853
45,DB,non_canopy,understory,73.33894251
46,DB,non_canopy,understory,73.77457336
47,DB,non_canopy,understory,74.53850559
48,DB,non_canopy,understory,75.1465246
49,DB,non_canopy,understory,76.48682303
50,DB,non_canopy,understory,77.17013764
1,EB,Qa,understory,-2.526959719
2,EB,Qa,understory,-0.659758322
3,EB,Qa,understory,6.797079345
4,EB,Qa,understory,19.70514381
5,EB,Qa,understory,31.62738253
6,EB,Qa,understory,38.39171507
7,EB,Qa,understory,47.8282712
8,EB,Qa,understory,48.93191884
9,EB,Qa,understory,63.73934928
10,EB,Qa,understory,69.60467871
11,EB,Qa,understory,73.75590781
12,EB,Qa,understory,79.21423227
13,EB,Qa,understory,86.20649384
14,EB,Qa,understory,87.52922033
15,EB,Qa,understory,89.2761428
16,EB,Qa,understory,94.18285274
17,EB,Qa,understory,94.94966902
18,EB,Qa,understory,96.47447671
19,EB,Qa,understory,97.20128575
20,EB,Qa,understory,99.32786115
21,EB,Qa,understory,100.6865608
22,EB,Qa,understory,102.5184536
23,EB,Qa,understory,103.783164
24,EB,Qa,understory,105.5686431
25,EB,Qa,understory,106.9523295
26,EB,Qa,understory,108.5073087
27,EB,Qa,understory,108.8473285
28,EB,Qa,understory,109.332563
29,EB,Qa,understory,110.3211979
30,EB,Qa,understory,111.3329608
31,EB,Qa,understory,112.3805847
32,EB,Qa,understory,112.0859597
33,EB,Qa,understory,113.4054188
34,EB,Qa,understory,113.9392274
35,EB,Qa,understory,114.1776589
36,EB,Qa,understory,115.5445977
37,EB,Qa,understory,116.7041451
38,EB,Qa,understory,118.2621851
39,EB,Qa,understory,120.4121043
40,EB,Qa,understory,122.0539622
41,EB,Qa,understory,122.8058812
42,EB,Qa,understory,124.1757912
43,EB,Qa,understory,125.6014264
44,EB,Qa,understory,127.0387797
45,EB,Qa,understory,129.0725191
46,EB,Qa,understory,130.7612445
47,EB,Qa,understory,131.585935
48,EB,Qa,understory,133.0290805
49,EB,Qa,understory,134.3329298
50,EB,Qa,understory,135.7196119
1,EB,Qa,canopy,-3.288646758
2,EB,Qa,canopy,-3.913664423
3,EB,Qa,canopy,-1.505768546
4,EB,Qa,canopy,-0.473001928
5,EB,Qa,canopy,0.619268101
6,EB,Qa,canopy,-0.247601844
7,EB,Qa,canopy,2.518966603
8,EB,Qa,canopy,3.71696841
9,EB,Qa,canopy,6.61476365
10,EB,Qa,canopy,9.041466013
11,EB,Qa,canopy,8.653105286
12,EB,Qa,canopy,9.366397502
13,EB,Qa,canopy,10.15197282
14,EB,Qa,canopy,9.324560713
15,EB,Qa,canopy,8.960809819
16,EB,Qa,canopy,9.672801883
17,EB,Qa,canopy,10.80774635
18,EB,Qa,canopy,11.72995866
19,EB,Qa,canopy,12.2894521
20,EB,Qa,canopy,12.5430362
21,EB,Qa,canopy,13.05437853
22,EB,Qa,canopy,12.94597109
23,EB,Qa,canopy,11.97287214
24,EB,Qa,canopy,11.39766379
25,EB,Qa,canopy,11.36335275
26,EB,Qa,canopy,11.59395703
27,EB,Qa,canopy,12.50437223
28,EB,Qa,canopy,12.67546427
29,EB,Qa,canopy,13.20293247
30,EB,Qa,canopy,13.78423256
31,EB,Qa,canopy,13.63004068
32,EB,Qa,canopy,14.30683713
33,EB,Qa,canopy,14.61856453
34,EB,Qa,canopy,14.52635408
35,EB,Qa,canopy,14.56673738
36,EB,Qa,canopy,14.81793641
37,EB,Qa,canopy,14.96541454
38,EB,Qa,canopy,15.28802824
39,EB,Qa,canopy,15.2061422
40,EB,Qa,canopy,15.21282612
41,EB,Qa,canopy,15.4867336
42,EB,Qa,canopy,15.62287832
43,EB,Qa,canopy,15.79366662
44,EB,Qa,canopy,15.5702619
45,EB,Qa,canopy,15.27593423
46,EB,Qa,canopy,15.26568622
47,EB,Qa,canopy,15.25421921
48,EB,Qa,canopy,15.30589206
49,EB,Qa,canopy,15.18233146
50,EB,Qa,canopy,15.04746211
1,DB,Aa,understory,-2.388489178
2,DB,Aa,understory,-1.243042031
3,DB,Aa,understory,-2.325124525
4,DB,Aa,understory,-2.265911664
5,DB,Aa,understory,-2.294800169
6,DB,Aa,understory,3.518790638
7,DB,Aa,understory,5.072353439
8,DB,Aa,understory,4.83612888
9,DB,Aa,understory,4.102558225
10,DB,Aa,understory,4.105820526
11,DB,Aa,understory,5.322919964
12,DB,Aa,understory,5.807841824
13,DB,Aa,understory,6.250648323
14,DB,Aa,understory,5.337908722
15,DB,Aa,understory,4.918255033
16,DB,Aa,understory,4.645098728
17,DB,Aa,understory,4.038565493
18,DB,Aa,understory,3.715177067
19,DB,Aa,understory,4.071675438
20,DB,Aa,understory,4.165720112
21,DB,Aa,understory,3.865634293
22,DB,Aa,understory,3.832708942
23,DB,Aa,understory,3.608656402
24,DB,Aa,understory,3.168763065
25,DB,Aa,understory,3.386559779
26,DB,Aa,understory,2.936447707
27,DB,Aa,understory,2.916245717
28,DB,Aa,understory,3.047727553
29,DB,Aa,understory,3.191143276
30,DB,Aa,understory,2.582061769
31,DB,Aa,understory,2.350879672
32,DB,Aa,understory,2.256740244
33,DB,Aa,understory,2.121844736
34,DB,Aa,understory,2.013398486
35,DB,Aa,understory,1.77729615
