"Row.names","Estimate","Std..Error","t.value","Pr...t..","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p","distance","LT","FT","sd.two_EB","sd.two_DB"
"two_DB",-0.190522723964072,0.0304838604538683,-6.24995394702037,7.69047417341811e-10,1.39325119941831,1.2767657777224,1.55876310690063,1.18036062261425,0.717745658799723,0.641534300865223,0.783229013064463,-0.190522723964072,0.0304838604538683,0.95,-0.259344485683049,-0.122395484816507,-6.24995394702037,613,4.1057372986107e-10,11,"EB","understory",0.633756190728803,0.784575589483696
"two_EB",-0.553006201788728,0.0392600282153921,-14.0857311348523,3.06578392106387e-39,2.31095085916856,2.05878355521659,2.62317609362871,1.52018119287424,0.432722312563489,0.381217258890413,0.485723716544257,-0.553006201788728,0.0392600282153921,0.95,-0.644499215158326,-0.462843571237645,-14.0857311348523,613,4.64823036393786e-45,11,"EB","understory",0.625586180240195,0.780206002104936
"two_DB",-0.220028506178036,0.0313531694514185,-7.01774366125787,5.9926526748638e-12,1.52046409090637,1.38433100940045,1.70481658595691,1.23307099994541,0.657693927782197,0.586573364101044,0.722370584209551,-0.220028506178036,0.0313531694514185,0.95,-0.288623297213572,-0.151764047015852,-7.01774366125787,613,2.25479725034157e-12,12,"EB","understory",0.617825627198218,0.776024963107017
"two_EB",-0.575575028703108,0.0393491852764091,-14.6273683853927,8.85643281166469e-42,2.39488551882472,2.13057856093999,2.72098222790392,1.54754176642336,0.417556493677721,0.367514344542536,0.469356079298391,-0.575575028703108,0.0393491852764091,0.95,-0.666057790122673,-0.486425258577162,-14.6273683853927,613,1.87916112645447e-48,12,"EB","understory",0.612523004640396,0.772543459983198
"two_DB",-0.250209669802491,0.032128782115977,-7.78771099692777,2.92279846452124e-14,1.63632047789487,1.48276778407634,1.83871327777814,1.27918742875893,0.611127229359435,0.543858584198825,0.674414436797956,-0.250209669802491,0.032128782115977,0.95,-0.319069045578496,-0.181467576790405,-7.78771099692777,613,6.823403379247e-15,13,"EB","understory",0.607388421404792,0.767314422168402
"two_EB",-0.592114636425912,0.0395337629891824,-14.9774418536362,1.91397381382376e-43,2.4775141711428,2.2012687911155,2.81728530872812,1.57401212547515,0.40363038550804,0.35495162556023,0.454283458719844,-0.592114636425912,0.0395337629891824,0.95,-0.681980131387904,-0.503539054353112,-14.9774418536362,613,1.03110046462957e-50,13,"EB","understory",0.602411322464351,0.765070628481518
"two_DB",-0.274279636184095,0.0324949332819727,-8.44068931620973,2.27828114841143e-16,1.71012095035167,1.54560631514184,1.92424106930885,1.30771592876728,0.584753961288153,0.519685405300689,0.646995286059133,-0.274279636184095,0.0324949332819727,0.95,-0.34424186730278,-0.204402557437053,-8.44068931620973,613,3.15471644913605e-17,14,"EB","understory",0.600530173265083,0.762126574731308
"two_EB",-0.602179762159874,0.0395457555607996,-15.2274183062213,1.20730518326674e-44,2.53276725876628,2.24854461524952,2.88169124342935,1.59146701466486,0.394825065958529,0.347018440049792,0.444732113927403,-0.602179762159874,0.0395457555607996,0.95,-0.692473702268253,-0.513202526869142,-15.2274183062213,613,2.32596397023525e-52,14,"EB","understory",0.59716437318114,0.758945704832221
"two_DB",-0.296892855727679,0.0338290213788463,-8.7762768069114,1.67359392765873e-17,1.86565981995129,1.67825219801205,2.10484997479476,1.36589158425963,0.536003396388794,0.475093242736936,0.595858001070717,-0.296892855727679,0.0338290213788463,0.95,-0.365559964660874,-0.228266479566154,-8.7762768069114,613,1.68975625339733e-18,15,"EB","understory",0.594597668471881,0.756269829135667
"two_EB",-0.609959287015363,0.0398006306047227,-15.3253674061884,4.06597771625727e-45,2.58245935915758,2.29106587284602,2.93962033700514,1.6070032231323,0.387227778223858,0.340179984269258,0.436478065450722,-0.609959287015363,0.0398006306047227,0.95,-0.700849757945551,-0.520385067788139,-15.3253674061884,613,5.17610435649289e-53,15,"EB","understory",0.592903475474278,0.752291309202462
